;country;province;region_1;lat;lon;temp;tempMin;tempMax;humidity;wind;location
0;Italy;Sicily & Sardinia;Etna;39.5900512;-89.4912058;19.287142857142864;11.560000000000002;24.170000000000016;74.85714285714286;3.2642857142857142;1
1;Portugal;Douro;;39.8862651;-8.2687312;17.398571428571447;13.5;19.970000000000027;80.14285714285714;1.6814285714285715;1
2;US;Oregon;Willamette Valley;45.4206749;-122.670649;15.427142857142883;10.200000000000045;19.980000000000018;70.85714285714286;1.9385714285714286;1
3;US;Michigan;Lake Michigan Shore;41.7075394;-86.8950297;17.247142857142894;8.390000000000043;22.710000000000036;74.42857142857143;3.2414285714285715;1
4;US;Oregon;Willamette Valley;45.4206749;-122.670649;15.427142857142883;10.200000000000045;19.980000000000018;70.85714285714286;1.9385714285714286;1
5;Spain;Northern Spain;Navarra;;;;;;;;
6;Italy;Sicily & Sardinia;Vittoria;39.5900512;-89.4912058;19.287142857142864;11.560000000000002;24.170000000000016;74.85714285714286;3.2642857142857142;1
7;France;Alsace;Alsace;48.684872850000005;2.17560777527428;16.06857142857144;11.0;20.53000000000003;72.28571428571429;3.107142857142857;1
8;Germany;Rheinhessen;;49.9045181;8.2711082;16.1457142857143;10.680000000000007;21.0;69.57142857142857;2.75;1
9;France;Alsace;Alsace;48.684872850000005;2.17560777527428;16.06857142857144;11.0;20.53000000000003;72.28571428571429;3.107142857142857;1
10;US;California;Napa Valley;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
11;France;Alsace;Alsace;48.684872850000005;2.17560777527428;16.06857142857144;11.0;20.53000000000003;72.28571428571429;3.107142857142857;1
12;US;California;Alexander Valley;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
13;Italy;Sicily & Sardinia;Etna;39.5900512;-89.4912058;19.287142857142864;11.560000000000002;24.170000000000016;74.85714285714286;3.2642857142857142;1
14;US;California;Central Coast;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
15;Germany;Mosel;;50.7810263;12.4780171;14.700000000000014;8.850000000000023;19.180000000000007;72.42857142857143;2.867142857142857;1
16;Argentina;Other;Cafayate;;;;;;;;
17;Argentina;Mendoza Province;Mendoza;;;;;;;;
18;Spain;Northern Spain;Ribera del Duero;;;;;;;;
19;US;Virginia;Virginia;47.52326;-92.536571;15.981428571428589;6.03000000000003;22.80000000000001;67.85714285714286;3.3971428571428572;1
20;US;Virginia;Virginia;47.52326;-92.536571;15.981428571428589;6.03000000000003;22.80000000000001;67.85714285714286;3.3971428571428572;1
21;US;Oregon;Oregon;45.4206749;-122.670649;15.427142857142883;10.200000000000045;19.980000000000018;70.85714285714286;1.9385714285714286;1
22;Italy;Sicily & Sardinia;Sicilia;39.5900512;-89.4912058;19.287142857142864;11.560000000000002;24.170000000000016;74.85714285714286;3.2642857142857142;1
23;US;California;Paso Robles;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
24;Italy;Sicily & Sardinia;Sicilia;39.5900512;-89.4912058;19.287142857142864;11.560000000000002;24.170000000000016;74.85714285714286;3.2642857142857142;1
25;US;California;Sonoma Coast;38.628683;-92.5659635;20.167142857142874;12.970000000000027;25.260000000000048;71.42857142857143;3.2128571428571426;1
26;Italy;Sicily & Sardinia;Terre Siciliane;39.5900512;-89.4912058;19.287142857142864;11.560000000000002;24.170000000000016;74.85714285714286;3.2642857142857142;1
